metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
88164	8141	9	along the Easterly line of said lands of Charles Daehnke and through lands of the Park Ridge Construction Company, being parallel and distant one hundred seventy-five feet (175') Easterly at right angles from the Easterly line of Fairview Avenue	S	2.4	W	457.33	point which would be the Southerly line of Rock Avenue if extended Easterly		\N	0	\N	\N		\N
88165	8141	10	it being along the Southerly line of Rock Avenue if extended Easterly	N	87.55	W	146.74	Borough line between the Borough of Park Ridge and the Township of Rivervale		\N	0	\N	\N		\N
88166	8141	11	along the said present Borough line between the said Borough of Park Ridge and Township of Rivervale	N	3.4666666666667	E	2245.71	point or place of beginning		\N	0	\N	\N		\N
88167	8142	1	by the centre line of said Delaware Street	N	74.916666666667	W	280	corner of lands now or formerly owned by Bridge Land Improvement Company and known as "Woodbury Annex",  surveyed and plotted by J. Owen Carter, C. E., in October, 1922		\N	0	\N	\N		\N
88168	8142	2	by the Easterly line of Blocks "R" and "W" on said plan of Woodbury Annex and continuing over other lands of now or formerly said Bridge Land Improvement Company	N	15.083333333333	E	1770	centre line of Woodbury River		\N	0	\N	\N		\N
88169	8142	3	up the said Woodbury River in an Easterly direction the several courses thereof		\N	E	480	present boundary of the City of Woodbury		\N	0	480	1e-13		\N
88170	8142	4	along the Westerly boundary of the City of Woodbury, by lands formerly of Theodore Schallioll on the East and by lands of Bridge Land Improvement Company and Delaware Street Corporation on the West	S	19.883333333333	W	1920	centre line of Delaware Street and the place of beginning		\N	0	\N	\N		\N
88171	8143	1	northwesterly along Boyden Avenue	N	\N	W	98.72			\N	0	-69.805581438736	69.805581438736		\N
88172	8143	2	northeasterly	N	\N	E	165	present boundary line between the Township of Maplewood and the Town of Irvington		\N	0	116.67261889578	116.67261889578		\N
88173	8143	3	northeasterly along said boundary line	N	\N	E	\N	southwesterly corner of Chancellor Avenue and 43rd Street		\N	0	\N	\N		\N
88174	8143	4	still northeasterly	N	\N	E	\N	northerly side of Chancellor Avenue		\N	0	\N	\N		\N
88175	8143	5			\N		\N	point 50 feet westerly from the westerly line of 43rd Street		\N	0	\N	\N		\N
88176	8143	6	northeasterly and parallel with 43rd Street and 50 feet therefrom	N	\N	E	100	angle		\N	0	70.710678118655	70.710678118655		\N
88177	8143	7	northwesterly [...] and distant 100 feet north of Chancellor Avenue	N	\N	W	110	angle		\N	0	-77.78174593052	77.78174593052		\N
88178	8143	8	northeasterly	N	\N	E	108.3	angle		\N	0	76.579664402503	76.579664402503		\N
88179	8143	9	southeasterly	S	\N	E	55	angle		\N	0	38.89087296526	-38.89087296526		\N
88180	8143	10	northeasterly	N	\N	E	65	angle		\N	0	45.961940777126	45.961940777126		\N
88181	8143	11	southeasterly	S	\N	E	10	angle		\N	0	7.0710678118655	-7.0710678118655		\N
88182	8143	12	northeasterly [...] along the present boundary line between the Township of Maplewood and the Town of Irvington	N	\N	E	145	southerly side of Springfield Avenue		\N	0	102.53048327205	102.53048327205		\N
88183	8143	13	northeasterly	N	\N	E	\N	northerly side of Springfield Avenue		\N	0	\N	\N		\N
88184	8143	14			\N		\N	point distant 128.53 feet southwesterly from the westerly side of North 43rd Street		\N	0	\N	\N		\N
88185	8143	15	northeasterly and parallel with and 105 feet from the westerly line of North 43rd Street	N	\N	E	927	angle		\N	0	655.48798615993	655.48798615993		\N
88186	8143	16	southeasterly	S	\N	E	70	angle which point is distant 35 feet westerly from the westerly side of North 43rd Street		\N	0	49.497474683058	-49.497474683058		\N
88187	8143	17	northeasterly and parallel with the westerly line of North 43rd Street	N	\N	E	97.33	southerly line of Elmwood Avenue		\N	0	68.822703012887	68.822703012887		\N
88188	8143	18	still northeasterly	N	\N	E	\N	northerly line of Elmwood Avenue at a point distant northwesterly 281 feet more or less from the intersection of the westerly line of Franklin Terrace with the northerly line of Elmwood Avenue		\N	0	\N	\N		\N
88189	8143	19	northeasterly	N	\N	E	417.43	angle		\N	0	295.1675836707	295.1675836707		\N
88190	8143	20	southeasterly	S	\N	E	100	angle point which is distant 125 feet westerly from the westerly line of Franklin Terrace		\N	0	70.710678118655	-70.710678118655		\N
88191	8143	21	northeasterly [...] and distant 125 feet from the westerly line of Franklin Terrace	N	\N	E	175	center line of Tiffany Place		\N	0	123.74368670765	123.74368670765		\N
88192	8143	22	southeasterly along the said center line of Tiffany Place	S	\N	E	\N	present boundary line between the Township of Maplewood and the Town of Irvington		\N	0	\N	\N		\N
88193	8144	1	westerly along the center line of Clinton Avenue		\N	W	\N	its intersection with the center line of Franklin Terrace		\N	0	\N	\N		\N
88194	8144	2	southerly along the center line of Franklin Terrace following its various courses	S	\N		\N	point formed by the intersection of the center line of Franklin Terrace and the present boundary line between the Town of Irvington and the Township of Maplewood		\N	0	\N	\N		\N
88195	8144	3	along said dividing line in a northeasterly direction following its various courses	N	\N	E	\N	point formed by the intersection of said boundary line with the center line of Clinton Avenue being the point and place of beginning		\N	0	\N	\N		\N
88196	8145	1	westerly along said southerly line		\N	W	19	present dividing line between the Town of Irvington and the Township of Maplewood		\N	0	-19	1e-13		\N
88197	8145	2	along said dividing line in a northerly direction	N	\N		140	point in the proposed dividing line between the Town of Irvington and the Township of Maplewood		\N	0	1e-13	140		\N
