lawsectioneventid	lawsection	event	lawsectioneventrelationship	lawsectioneventnotes
58851	1793	53661	indirect	
58852	1793	54454	indirect	
58853	1793	54585	indirect	
58854	1793	54707	indirect	
58855	1793	53662	indirect	
58856	1793	54173	indirect	
58857	1793	54455	indirect	
58858	1793	53663	indirect	
58859	1793	54438	indirect	
58860	1793	54456	indirect	
58861	1793	54653	indirect	
58862	1793	53664	indirect	
58863	1793	54389	indirect	
58864	1793	54457	indirect	
58865	1793	55078	indirect	
58866	1793	22017	indirect	
58867	1793	54459	indirect	
58868	1793	55154	indirect	
58869	1793	54460	indirect	
58870	1793	54507	indirect	
58871	1793	22462	indirect	
58872	1793	53681	indirect	
58873	1793	53682	indirect	
58874	1793	54523	indirect	
58875	1793	53762	indirect	
58876	1793	54524	indirect	
58877	1793	54525	indirect	
58878	1793	54526	indirect	
58879	1793	22013	indirect	
58880	1793	15042	indirect	
58881	1793	15172	indirect	
58882	1793	2072	indirect	
58883	1793	2579	indirect	
58884	1793	1191	indirect	
58885	1793	1196	indirect	
58886	1793	1195	indirect	
58887	1793	2629	indirect	
58888	1793	2892	indirect	
58889	1793	4948	indirect	
58890	1793	1847	indirect	
58891	1793	54412	indirect	
58892	1793	54415	indirect	
58893	1793	54420	indirect	
58894	1793	54419	indirect	
58895	1793	15729	indirect	
58896	1793	2386	indirect	
58897	1793	2027	indirect	
58898	1793	14452	indirect	
58899	1793	15364	indirect	
58900	1793	9577	indirect	
58901	1793	1814	indirect	
58902	1793	15667	indirect	
58903	1793	15716	indirect	
58904	1793	50646	indirect	
58905	1793	50645	indirect	
58906	1793	50716	indirect	
58907	1793	50801	indirect	
58908	1793	50965	indirect	
58909	1793	22454	indirect	
58910	1793	1391	indirect	
58911	661	53471	reference	
58912	661	22462	reference	
58913	661	9019	indirect	
58914	661	9430	indirect	
58915	661	30815	indirect	
58916	661	22581	indirect	
58917	661	53211	indirect	
58918	661	53218	indirect	
58919	661	53245	indirect	
58920	661	53279	indirect	
58921	661	53478	indirect	
58922	661	53507	indirect	
58923	661	53586	indirect	
58924	661	53601	indirect	
58925	661	53594	indirect	
58926	661	53581	indirect	
58927	661	53604	indirect	
58928	661	53627	indirect	
58929	661	53463	indirect	
58930	661	53795	indirect	
58931	661	53464	indirect	
58932	661	53552	indirect	
58933	661	53584	indirect	
58934	661	53268	indirect	
58935	661	53465	indirect	
58936	661	53553	indirect	
58937	661	53585	indirect	
58938	661	53766	indirect	
58939	661	53767	indirect	
58940	661	53633	indirect	
58941	661	53647	indirect	
58942	661	54201	indirect	
58943	661	54152	indirect	
58944	661	54319	indirect	
58945	661	53782	indirect	
58946	661	54191	indirect	
58947	661	54203	indirect	
58948	661	54272	indirect	
58949	661	54171	indirect	
58950	661	54308	indirect	
58951	661	54321	indirect	
58952	661	53683	indirect	
58953	661	54414	indirect	
58954	661	53785	indirect	
58955	661	54411	indirect	
58956	661	54416	indirect	
58957	661	54537	indirect	
58958	661	54638	indirect	
58959	661	53786	indirect	
58960	661	54324	indirect	
58961	661	54534	indirect	
58962	661	54655	indirect	
58963	661	54713	indirect	
58964	661	54656	indirect	
58965	661	54710	indirect	
58966	661	54380	indirect	
58967	661	54545	indirect	
58968	661	54637	indirect	
58969	661	54657	indirect	
58970	661	54658	indirect	
58971	661	54685	indirect	
58972	661	54382	indirect	
58973	661	54647	indirect	
58974	661	54702	indirect	
58975	661	54717	indirect	
58976	661	54329	indirect	
58977	661	54353	indirect	
58978	661	54383	indirect	
58979	661	54582	indirect	
