sourcecitationeventid	sourcecitation	event	sourcecitationeventinclude
1184	849	2637	f
1185	850	3125	f
1186	851	3125	f
1187	852	2935	f
1188	853	3130	f
1189	854	2914	f
1190	855	2701	f
1191	856	3130	f
1192	857	2701	f
1193	858	2795	f
1194	859	2795	f
1195	860	2914	f
1196	861	2948	f
1197	862	2741	f
1198	863	3019	f
1199	864	3019	f
1200	865	3019	f
1201	866	2969	f
1202	867	3714	f
1203	868	2969	f
1204	869	3714	f
1205	870	2681	f
1206	871	2778	f
1207	872	3134	f
1208	873	3134	f
1209	874	2681	f
1210	875	2846	f
1211	876	2843	f
1212	877	2846	f
1213	878	2843	f
1214	879	3049	f
1215	880	3051	f
1216	880	2689	f
1217	881	3051	f
1218	881	2689	f
1219	882	3129	f
1220	882	3049	f
1221	883	3129	f
1222	885	3129	f
1223	886	2839	f
1224	887	2839	f
1225	983	2466	f
1226	888	2891	f
1227	889	2631	f
1228	890	2986	f
1229	891	2694	f
1230	892	2694	f
1231	893	2891	f
1232	894	2748	f
1233	895	2986	f
1234	896	2748	f
1235	897	3664	f
1236	898	3664	f
1237	899	2423	f
1238	900	2258	f
1239	900	2220	f
1240	900	2267	f
1241	901	2532	f
1242	902	2297	f
1243	903	2371	f
1244	904	2412	f
1245	905	2360	f
1246	906	2385	f
1247	907	2385	f
1248	908	2423	f
1249	908	2418	f
1250	908	2360	f
1251	909	2505	f
1252	910	2505	f
1253	910	2472	f
1254	910	2532	f
1255	911	2206	f
1256	912	2371	f
1257	913	2385	f
1258	914	2162	f
1259	915	2218	f
1260	916	2162	f
1261	917	2220	f
1262	918	2297	f
1263	919	2267	f
1264	920	2206	f
1265	921	2371	f
1266	922	2416	f
1267	923	2412	f
1268	924	2619	f
1269	925	2162	f
1270	926	2416	f
1271	927	2418	f
1272	928	2472	f
1276	930	2619	f
1277	931	2527	f
1278	932	2533	f
1279	933	2527	f
1280	934	2269	f
1281	934	2126	f
1282	935	2269	f
1283	936	2527	f
1284	937	2269	f
1285	937	2126	f
1286	938	2533	f
1287	939	1910	f
1288	940	370	f
1289	941	370	f
1290	942	691	f
1291	943	941	f
1292	944	664	f
1293	944	941	f
1294	945	691	f
1295	946	664	f
1296	947	1910	f
1297	948	1845	f
1298	949	1845	f
1299	950	2448	f
1300	951	1685	f
1301	952	1685	f
1302	953	1318	f
1303	954	2406	f
1304	955	2446	f
1305	956	1318	f
1306	957	2446	f
1307	958	2439	f
1308	959	2406	f
1309	960	2448	f
1310	961	1722	f
1311	962	1722	f
1312	963	3396	f
1313	964	3396	f
1314	965	1174	f
1315	966	2731	f
1316	967	2731	f
1317	968	2860	f
1318	969	2860	f
1319	970	1174	f
1320	971	1717	f
1321	974	776	f
1322	975	710	f
1323	976	710	f
1324	977	776	f
1325	978	1717	f
1326	979	2173	f
1327	980	2173	f
1328	981	2542	f
1329	982	2486	f
1343	987	1475	f
1344	988	2379	f
1345	989	2631	f
1346	990	889	\N
1360	993	2641	f
1535	1012	997	f
1598	1017	3919	\N
1599	1017	3918	\N
1600	1017	4517	\N
1622	1022	2650	f
1623	1023	2641	f
1839	1067	2564	f
1865	1040	2370	f
1894	1045	2379	f
1900	1047	2617	f
1901	1048	1475	f
1911	1052	1792	f
1912	1053	1792	f
1914	2571	7049	f
1970	1056	5473	f
1971	1057	5606	f
